I/flutter (15598): ###NAR,down,0.9,2,8
I/flutter (15598): ###counterNAR,down,0.94,2,8
I/flutter (15598): ###NAR,down,0.94,2,8
I/flutter (15598): ###counterNAR,down,0.97,2,8
I/flutter (15598): ###NAR,down,0.97,2,8
I/flutter (15598): ###counterNAR,down,0.99,2,8
I/flutter (15598): ###NAR,down,0.99,2,8
I/flutter (15598): ###counterNAR,down,1.0,2,8
I/flutter (15598): ###NAR,down,1.0,2,8
I/flutter (15598): ###counterNAR,down,1.0,2,9
I/flutter (15598): ###NAR,down,1.0,2,9
I/flutter (15598): ###counterNAR,down,1.0,2,9
I/flutter (15598): ###NAR,down,1.0,2,9
I/flutter (15598): ###counterNAR,down,1.0,2,9
I/flutter (15598): ###NAR,down,1.0,2,9
I/flutter (15598): ###counterNAR,down,0.91,2,9
I/flutter (15598): ###NAR,down,0.91,2,9
I/flutter (15598): ###counterNAR,down,0.7,2,9
I/flutter (15598): ###NAR,down,0.7,2,9
I/flutter (15598): ###counterNAR,up,0.46,2,9
I/flutter (15598): ###NAR,up,0.46,2,9
I/flutter (15598): ###counterNAR,up,0.59,2,9
I/flutter (15598): ###NAR,up,0.59,2,9
I/flutter (15598): ###counterNAR,up,0.7,3,9
I/flutter (15598): ###NAR,up,0.7,3,9
I/flutter (15598): ###counterNAR,up,0.78,3,10
I/flutter (15598): ###NAR,up,0.78,3,10
I/flutter (15598): ###counterNAR,up,0.85,3,10
I/flutter (15598): ###NAR,up,0.85,3,10
I/flutter (15598): ###counterNAR,up,0.9,3,10
I/flutter (15598): ###NAR,up,0.9,3,10
I/flutter (15598): ###counterNAR,up,0.95,3,10
I/flutter (15598): ###NAR,up,0.95,3,10
I/flutter (15598): ###counterNAR,up,0.98,3,10
I/flutter (15598): ###NAR,up,0.98,3,10
I/flutter (15598): ###counterNAR,up,1.0,3,10
I/flutter (15598): ###NAR,up,1.0,3,10
I/flutter (15598): ###counterNAR,up,1.0,3,10
I/flutter (15598): ###NAR,up,1.0,3,10
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,1.0,3,11
I/flutter (15598): ###NAR,up,1.0,3,11
I/flutter (15598): ###counterNAR,up,0.93,3,11
I/flutter (15598): ###NAR,up,0.93,3,11
I/flutter (15598): ###counterNAR,up,0.88,3,12
I/flutter (15598): ###NAR,up,0.88,3,12
I/flutter (15598): ###counterNAR,up,0.84,3,12
I/flutter (15598): ###NAR,up,0.84,3,12
I/flutter (15598): ###counterNAR,up,0.82,3,12
I/flutter (15598): ###NAR,up,0.82,3,12
I/flutter (15598): ###counterNAR,up,0.84,3,12
I/flutter (15598): ###NAR,up,0.84,3,12
I/flutter (15598): ###counterNAR,up,0.8,3,12
I/flutter (15598): ###NAR,up,0.8,3,12
I/flutter (15598): ###counterNAR,up,0.8,3,12
I/flutter (15598): ###NAR,up,0.8,3,12
I/flutter (15598): ###counterNAR,up,0.82,3,12
I/flutter (15598): ###NAR,up,0.82,3,12
I/flutter (15598): ###counterNAR,up,0.81,3,13
I/flutter (15598): ###NAR,up,0.81,3,13
I/flutter (15598): ###counterNAR,up,0.73,3,13
I/flutter (15598): ###NAR,up,0.73,3,13
I/flutter (15598): ###counterNAR,up,0.77,3,13
I/flutter (15598): ###NAR,up,0.77,3,13
I/flutter (15598): ###counterNAR,up,0.8,3,13
I/flutter (15598): ###NAR,up,0.8,3,13
I/flutter (15598): ###counterNAR,up,0.71,3,13
I/flutter (15598): ###NAR,up,0.71,3,13
I/flutter (15598): ###counterNAR,up,0.75,3,13
I/flutter (15598): ###NAR,up,0.75,3,13
I/flutter (15598): ###counterNAR,up,0.81,3,13
I/flutter (15598): ###NAR,up,0.81,3,13
I/flutter (15598): ###counterNAR,up,0.85,3,14
I/flutter (15598): ###NAR,up,0.85,3,14
I/flutter (15598): ###counterNAR,up,0.89,3,14
I/flutter (15598): ###NAR,up,0.89,3,14
I/flutter (15598): ###counterNAR,up,0.91,3,14
I/flutter (15598): ###NAR,up,0.91,3,14
I/flutter (15598): ###counterNAR,up,0.93,3,14
I/flutter (15598): ###NAR,up,0.93,3,14
I/flutter (15598): ###counterNAR,up,0.96,3,14
I/flutter (15598): ###NAR,up,0.96,3,14
I/flutter (15598): ###counterNAR,up,0.97,3,14
I/flutter (15598): ###NAR,up,0.97,3,14
I/flutter (15598): ###counterNAR,up,0.98,3,14
I/flutter (15598): ###NAR,up,0.98,3,14
I/flutter (15598): ###counterNAR,up,1.0,3,14
I/flutter (15598): ###NAR,up,1.0,3,14
I/flutter (15598): ###counterNAR,up,1.0,3,15
I/flutter (15598): ###NAR,up,1.0,3,15
I/flutter (15598): ###counterNAR,up,1.0,3,15
I/flutter (15598): ###NAR,up,1.0,3,15
I/flutter (15598): ###counterNAR,up,0.93,3,15
I/flutter (15598): ###NAR,up,0.93,3,15
I/flutter (15598): ###counterNAR,up,0.83,3,15
I/flutter (15598): ###NAR,up,0.83,3,15
I/flutter (15598): ###counterNAR,up,0.67,3,15
I/flutter (15598): ###NAR,up,0.67,3,15
I/flutter (15598): ###counterNAR,up,0.51,3,15
I/flutter (15598): ###NAR,up,0.51,3,15
I/flutter (15598): ###counterNAR,down,0.62,3,15
I/flutter (15598): ###NAR,down,0.62,3,15
I/flutter (15598): ###counterNAR,down,0.72,3,15
I/flutter (15598): ###NAR,down,0.72,3,15
I/flutter (15598): ###counterNAR,down,0.8,3,16
I/flutter (15598): ###NAR,down,0.8,3,16
I/flutter (15598): ###counterNAR,down,0.86,3,16
I/flutter (15598): ###NAR,down,0.86,3,16
I/flutter (15598): ###counterNAR,down,0.91,3,16
I/flutter (15598): ###NAR,down,0.91,3,16
I/flutter (15598): ###counterNAR,down,0.96,3,16
I/flutter (15598): ###NAR,down,0.96,3,16
I/flutter (15598): ###counterNAR,down,0.98,3,16
I/flutter (15598): ###NAR,down,0.98,3,16
I/flutter (15598): ###counterNAR,down,1.0,3,16
I/flutter (15598): ###NAR,down,1.0,3,16
I/flutter (15598): ###counterNAR,down,1.0,3,16
I/flutter (15598): ###NAR,down,1.0,3,16
I/flutter (15598): ###counterNAR,down,0.78,3,17
I/flutter (15598): ###NAR,down,0.78,3,17
I/flutter (15598): ###counterNAR,down,0.6,3,17
I/flutter (15598): ###NAR,down,0.6,3,17
I/flutter (15598): ###counterNAR,up,0.55,3,17
I/flutter (15598): ###NAR,up,0.55,3,17
I/flutter (15598): ###counterNAR,up,0.66,4,17
I/flutter (15598): ###NAR,up,0.66,4,17
I/flutter (15598): ###counterNAR,up,0.75,4,17
I/flutter (15598): ###NAR,up,0.75,4,17
I/flutter (15598): ###counterNAR,up,0.83,4,17
I/flutter (15598): ###NAR,up,0.83,4,17
I/flutter (15598): ###counterNAR,up,0.89,4,17
I/flutter (15598): ###NAR,up,0.89,4,17
I/flutter (15598): ###counterNAR,up,0.93,4,17
I/flutter (15598): ###NAR,up,0.93,4,17
I/flutter (15598): ###counterNAR,up,0.97,4,17
I/flutter (15598): ###NAR,up,0.97,4,17
I/flutter (15598): ###counterNAR,up,1.0,4,18
I/flutter (15598): ###NAR,up,1.0,4,18
I/flutter (15598): ###counterNAR,up,0.91,4,18
I/flutter (15598): ###NAR,up,0.91,4,18
I/flutter (15598): ###counterNAR,up,0.91,4,18
I/flutter (15598): ###NAR,up,0.91,4,18
I/flutter (15598): ###counterNAR,up,0.9,4,18
I/flutter (15598): ###NAR,up,0.9,4,18
I/flutter (15598): ###counterNAR,up,0.7,4,18
I/flutter (15598): ###NAR,up,0.7,4,18
I/flutter (15598): ###counterNAR,up,0.53,4,18
I/flutter (15598): ###NAR,up,0.53,4,18
I/flutter (15598): ###counterNAR,down,0.6,4,18
I/flutter (15598): ###NAR,down,0.6,4,18
I/flutter (15598): ###counterNAR,down,0.7,4,18
I/flutter (15598): ###NAR,down,0.7,4,18
I/flutter (15598): ###counterNAR,down,0.79,4,19
I/flutter (15598): ###NAR,down,0.79,4,19
I/flutter (15598): ###counterNAR,down,0.85,4,19
I/flutter (15598): ###NAR,down,0.85,4,19
I/flutter (15598): ###counterNAR,down,0.91,4,19
I/flutter (15598): ###NAR,down,0.91,4,19
I/flutter (15598): ###counterNAR,down,0.94,4,19
I/flutter (15598): ###NAR,down,0.94,4,19
I/flutter (15598): ###counterNAR,down,0.97,4,19
I/flutter (15598): ###NAR,down,0.97,4,19
I/flutter (15598): ###counterNAR,down,1.0,4,19
I/flutter (15598): ###NAR,down,1.0,4,19
I/flutter (15598): ###counterNAR,down,1.0,4,19
I/flutter (15598): ###NAR,down,1.0,4,19
I/flutter (15598): ###counterNAR,down,1.0,4,19
I/flutter (15598): ###NAR,down,1.0,4,19
I/flutter (15598): ###counterNAR,down,0.91,4,20
I/flutter (15598): ###NAR,down,0.91,4,20
I/flutter (15598): ###counterNAR,down,0.73,4,20
I/flutter (15598): ###NAR,down,0.73,4,20
I/flutter (15598): ###counterNAR,down,0.56,4,20
I/flutter (15598): ###NAR,down,0.56,4,20
I/flutter (15598): ###counterNAR,up,0.58,4,20
I/flutter (15598): ###NAR,up,0.58,4,20
I/flutter (15598): ###counterNAR,up,0.69,5,20
I/flutter (15598): ###NAR,up,0.69,5,20
I/flutter (15598): ###counterNAR,up,0.77,5,20
I/flutter (15598): ###NAR,up,0.77,5,20
I/flutter (15598): ###counterNAR,up,0.84,5,20
I/flutter (15598): ###NAR,up,0.84,5,20
I/flutter (15598): ###counterNAR,up,0.9,5,21
I/flutter (15598): ###NAR,up,0.9,5,21
I/flutter (15598): ###counterNAR,up,0.94,5,21
I/flutter (15598): ###NAR,up,0.94,5,21
I/flutter (15598): ###counterNAR,up,0.98,5,21
I/flutter (15598): ###NAR,up,0.98,5,21
I/flutter (15598): ###counterNAR,up,1.0,5,21
I/flutter (15598): ###NAR,up,1.0,5,21
I/flutter (15598): ###counterNAR,up,1.0,5,21
I/flutter (15598): ###NAR,up,1.0,5,21
I/flutter (15598): ###counterNAR,up,1.0,5,21
I/flutter (15598): ###NAR,up,1.0,5,21
I/flutter (15598): ###counterNAR,up,1.0,5,21
I/flutter (15598): ###NAR,up,1.0,5,21
I/flutter (15598): ###counterNAR,up,1.0,5,21
I/flutter (15598): ###NAR,up,1.0,5,21
I/flutter (15598): ###counterNAR,up,1.0,5,22
I/flutter (15598): ###NAR,up,1.0,5,22
I/flutter (15598): ###counterNAR,up,1.0,5,22
I/flutter (15598): ###NAR,up,1.0,5,22
I/flutter (15598): ###counterNAR,up,0.98,5,22
I/flutter (15598): ###NAR,up,0.98,5,22
I/flutter (15598): ###counterNAR,up,0.96,5,22
I/flutter (15598): ###NAR,up,0.96,5,22
I/flutter (15598): ###counterNAR,up,0.92,5,22
I/flutter (15598): ###NAR,up,0.92,5,22
I/flutter (15598): ###counterNAR,up,0.85,5,22
I/flutter (15598): ###NAR,up,0.85,5,22
I/flutter (15598): ###counterNAR,up,0.86,5,22
I/flutter (15598): ###NAR,up,0.86,5,22
I/flutter (15598): ###counterNAR,up,0.84,5,23
I/flutter (15598): ###NAR,up,0.84,5,23
I/flutter (15598): ###counterNAR,up,0.81,5,23
I/flutter (15598): ###NAR,up,0.81,5,23
I/flutter (15598): ###counterNAR,up,0.82,5,23
I/flutter (15598): ###NAR,up,0.82,5,23
I/flutter (15598): ###counterNAR,up,0.81,5,23
I/flutter (15598): ###NAR,up,0.81,5,23
I/flutter (15598): ###counterNAR,up,0.81,5,23
I/flutter (15598): ###NAR,up,0.81,5,23
I/flutter (15598): ###counterNAR,up,0.82,5,23
I/flutter (15598): ###NAR,up,0.82,5,23
I/flutter (15598): ###counterNAR,up,0.84,5,23
I/flutter (15598): ###NAR,up,0.84,5,23
I/flutter (15598): ###counterNAR,up,0.83,5,24
I/flutter (15598): ###NAR,up,0.83,5,24
I/flutter (15598): ###counterNAR,up,0.83,5,24
I/flutter (15598): ###NAR,up,0.83,5,24
I/flutter (15598): ###counterNAR,up,0.82,5,24
I/flutter (15598): ###NAR,up,0.82,5,24
I/flutter (15598): ###counterNAR,up,0.82,5,24
I/flutter (15598): ###NAR,up,0.82,5,24
I/flutter (15598): ###counterNAR,up,0.86,5,24
I/flutter (15598): ###NAR,up,0.86,5,24
I/flutter (15598): ###counterNAR,up,0.89,5,24
I/flutter (15598): ###NAR,up,0.89,5,24
I/flutter (15598): ###counterNAR,up,0.92,5,24
I/flutter (15598): ###NAR,up,0.92,5,24
I/flutter (15598): ###counterNAR,up,0.94,5,24
I/flutter (15598): ###NAR,up,0.94,5,24
I/flutter (15598): ###counterNAR,up,0.95,5,25
I/flutter (15598): ###NAR,up,0.95,5,25
I/flutter (15598): ###counterNAR,up,0.97,5,25
I/flutter (15598): ###NAR,up,0.97,5,25
I/flutter (15598): ###counterNAR,up,0.98,5,25
I/flutter (15598): ###NAR,up,0.98,5,25
I/flutter (15598): ###counterNAR,up,0.99,5,25
I/flutter (15598): ###NAR,up,0.99,5,25
I/flutter (15598): ###counterNAR,up,0.99,5,25
I/flutter (15598): ###NAR,up,0.99,5,25
I/flutter (15598): ###counterNAR,up,1.0,5,25
I/flutter (15598): ###NAR,up,1.0,5,25
I/flutter (15598): ###counterNAR,up,0.98,5,25
